COUNTRY,INDICATOR,SCALE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Algeria,"Gross domestic product (GDP), Current prices, US dollar",Billions,45.957,48.156,48.599,51.582,55.906,66.346,66.783,68.698,56.07,57.041,67.171,50.65,53.414,55.309,46.044,45.654,50.945,52.287,52.297,53.011,59.418,59.413,61.516,73.482,91.914,107.047,123.084,142.483,180.384,150.317,177.785,218.332,227.144,229.701,238.943,187.494,180.764,190.004,194.507,193.361,164.774,185.85,225.709,247.789,264.913,268.885,269.435,274.52,279.983,285.271,290.941
Argentina,"Gross domestic product (GDP), Current prices, US dollar",Billions,233.696,189.802,94.25,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,446.762,385.218,486.04,632.318,645.511,632.145,683.533,715.376,715.766,712.668,738.395,776.815
Austria,"Gross domestic product (GDP), Current prices, US dollar",Billions,80.481,69.738,69.727,70.644,66.64,68.248,96.842,121.104,132.86,132.534,165.953,173.481,194.436,189.342,202.854,239.914,236.044,211.978,217.363,216.637,196.268,196.479,212.687,260.714,299.075,314.126,333.924,386.806,429.187,398.857,390.146,428.879,407.008,426.587,438.669,379.584,393.579,414.78,452.787,443.033,434.05,480.786,472.339,512.509,521.269,534.301,551.918,572.442,591.248,609.827,628.259
Algeria,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,2462.085,2502.13,2446.588,2514.256,2640.191,2988.545,2929.092,2935.816,2326.571,2309.34,2684.465,1975.201,2033.196,2056.556,1674.567,1626.997,1783.41,1800.196,1772.368,1769.091,1947.755,1919.41,1958.238,2304.603,2839.82,3258.153,3690.572,4208.244,5214.762,4262.144,4941.493,5946.345,6057.974,5997.896,6108.878,4691.686,4426.58,4554.15,4568.244,4452.856,3757.585,4169.217,4983.545,5389.842,5681.632,5690.504,5630.761,5668.998,5713.242,5752.132,5740.182
Argentina,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,9941.59,8489.332,10610.191,13676.216,13835.967,13415.312,14362.247,14882.507,14743.184,14534.04,14909.602,15530.08
Bangladesh,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,311.093,322.318,294.02,277.489,303.3,317.511,318.062,339.17,355.592,378.07,398.05,402.354,400.912,395.867,411.91,450.133,471.268,479.354,488.077,491.461,483.217,480.724,490.919,532.343,563.21,572.014,610.469,668.54,760.65,841.252,935.755,1032.313,1057.884,1176.16,1340.289,1495.538,1679.021,1839.755,1991.739,2154.227,2270.348,2497.741,2730.846,2651.738,2622.368,2689.241,2925.047,3146.42,3396.042,3732.424,4075.962
Australia,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,11007.11,12527.968,12234.339,11591.576,12574.63,10967.197,11244.812,12998.143,16245.405,18209.046,18877.81,18668.311,18112.564,17455.939,19748.718,20929.06,23167.547,23036.266,20394.834,21775.12,20912.038,19503.999,21703.958,27293.622,32861.496,36260.401,37980.615,45207.836,49198.059,45771.767,56584.708,67289.469,68481.215,65237.984,61629.37,51446.422,51779.836,55782.112,56357.044,54320.185,53163.316,64251.284,65574.135,64652.153,66247.96,64547.098,66277.318,68117.43,70143.677,72374.44,74886.083
Belgium,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,12529.407,10366.157,9128.627,8626.201,8244.885,8568.693,11873.863,14740.526,16008.714,16098.234,20120.031,20563.827,22823.138,21723.728,23624.579,28458.604,27535.287,24878.749,25399.222,25309.265,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.275,45055.745,44460.655,47915.958,45028.566,47055.739,48129.389,41032.322,41918.104,44110.725,47627.406,46858.358,45933.801,51830.701,51121.137,54924.575,56271.417,57772.418,59457.705,60807.874,62385.183,64005.603,65705.363
Austria,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,10673.228,9229.942,9216.949,9365.702,8834.022,9041.048,12815.58,16004.95,17536.325,17451.786,21707.996,22498.089,24931.218,24020.491,25584.781,30184.445,29657.412,26603.585,27249.493,27105.607,24498.114,24430.662,26315.717,32114.633,36608.939,38190.312,40387.725,46630.129,51575.468,47816.021,46662.235,51126.851,48302.044,50321.474,51342.747,43986.748,45032.903,47055.738,50963.207,50010.449,48764.175,53827.418,52609.011,56290.149,56914.537,58191.922,59960.823,62035.406,63894.493,65718.259,67515.603
Australia,"Gross domestic product (GDP), Current prices, US dollar",Billions,162.924,188.41,187.049,179.478,197.136,174.385,181.477,213.1,271.088,308.402,324.128,324.436,318.005,309.303,353.372,379.227,424.663,426.401,381.498,411.968,400.278,378.114,425.516,541.155,658.742,736.505,783.447,950.093,1056.559,1000.828,1254.623,1515.507,1570.139,1519.9,1456.939,1233.921,1262.655,1381.11,1417.162,1386.277,1362.613,1655.843,1725.461,1742.461,1796.805,1771.681,1841.002,1914.821,1995.441,2083.608,2181.788
Brazil,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3751.971,3163.671,2844.405,3077.735,3647.959,4806.171,5906.244,7374.237,8863.269,8640.934,11341.268,13326.088,12465.45,12406.559,12230.669,8893.346,8812.503,10055.567,9281.668,9010.512,7057.072,7951.553,9256.482,10350.437,10214.032,9964.1,10215.584,10697.469,11208.539,11774.535,12376.777
Brazil,"Gross domestic product (GDP), Current prices, US dollar",Billions,145.819,167.583,179.166,143.652,142.957,226.938,263.256,286.539,320.105,439.434,455.335,399.249,382.465,429.184,546.764,770.86,851.146,883.862,864.307,599.642,655.454,559.982,509.798,558.232,669.29,891.633,1107.628,1397.114,1695.855,1669.204,2208.704,2614.027,2464.053,2471.718,2456.055,1800.046,1796.622,2063.519,1916.934,1873.286,1476.092,1670.65,1951.849,2191.137,2171.337,2125.958,2186.983,2297.36,2414.121,2542.873,2679.565
Canada,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.77,24279.8,28340.085,32178.496,36440.967,40559.017,44717.074,46773.744,40989.278,47625.742,52285.815,52745.057,52711.32,51025.428,43628.425,42382.499,45192.368,46617.97,46430.975,43573.195,52912.175,56358.067,54376.269,54473.186,53558.062,56141.001,58566.458,60767.455,63025.802,65691.992
Colombia,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,1682.427,1792.984,1878.86,1827.905,1767.893,1623.658,1592.848,1624.054,1714.91,1694.091,1691.106,1712.347,1986.543,2209.203,2726.817,3035.313,3137.068,3399.33,3090.903,2673.665,2535.477,2461.328,2424.349,2313.535,2827.173,3493.965,3836.672,4834.416,5622.109,5330.795,6498.585,7518.304,8237.306,8409.7,8312.056,6337.03,6037.133,6577.287,6923.64,6540.141,5363.241,6231.24,6687.587,7015.002,7942.589,8054.24,8333.855,8663.274,9018.613,9388.778,9767.645
Chile,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,2598.159,3025.972,2219.964,1774.676,1698.949,1434.434,1515.068,1756.21,2035.335,2305.635,2521.569,2849.743,3392.088,3572.096,4058.557,5153.88,5387.405,5799.339,5475.546,4985.768,5099.922,4608.057,4479.771,4824.87,6183.906,7558.009,9410.392,10447.116,10759.738,10176.733,12723.064,14560.249,15316.01,15740.391,14582.85,13494.489,13722.878,15003.77,15755.003,14551.577,13056.638,16028.325,15193.738,16814.208,16439.479,17015.08,17600.433,18264.475,18950.758,19660.667,20390.032
Canada,"Gross domestic product (GDP), Current prices, US dollar",Billions,276.064,307.246,314.639,341.863,356.728,366.184,379.015,433.14,509.38,567.225,596.089,612.514,594.376,579.059,579.913,605.941,630.598,655.01,634.004,678.417,744.631,738.968,760.149,895.599,1026.473,1173.505,1319.356,1468.896,1552.864,1376.509,1617.345,1793.327,1828.362,1846.595,1805.751,1556.508,1527.996,1649.266,1725.3,1743.725,1655.685,2022.382,2190.411,2173.34,2241.253,2225.341,2332.563,2435.529,2542.339,2657.894,2792.323
